month,cost,type
2022-02-01,1521253.81,actual
2022-03-01,1586806.43,actual
2022-04-01,1565056.25,actual
2022-05-01,1603722.5499999998,actual
2022-06-01,1612429.26,actual
2022-07-01,1583249.88,actual
2022-08-01,1554097.7,actual
2022-09-01,1457579.71,actual
2022-10-01,1429087.82,actual
2022-11-01,1425053.0,actual
2022-12-01,1480905.65,actual
2023-01-01,1532957.8299999998,actual
2023-02-01,1574444.41,actual
2023-03-01,1669520.1400000001,actual
2023-04-01,1704149.3900000001,actual
2023-05-01,1708509.63,actual
2023-06-01,1728123.46,actual
2023-07-01,1701951.9300000002,actual
2023-08-01,1624068.45,actual
2023-09-01,1572887.67,actual
2023-10-01,1513262.6,actual
2023-11-01,1541241.21,actual
2023-12-01,1571650.55,actual
2024-01-01,1621839.19,actual
2024-02-01,1681705.2799999998,actual
2024-03-01,1742334.92,actual
2024-04-01,1785959.92,actual
2024-05-01,1824420.6199999999,actual
2024-06-01,1828681.61,actual
2024-07-01,1778766.69,actual
2024-08-01,1729477.03,actual
2024-09-01,1673033.6600000001,actual
2024-10-01,1637617.62,actual
2024-11-01,1617336.7,actual
2024-12-01,1633395.73,actual
2025-01-01,1752086.34,actual
2025-02-01,1659260.310757576,forecast
2025-03-01,1649341.1775407929,forecast
2025-04-01,1639422.0443240097,forecast
2025-05-01,1629502.9111072265,forecast
2025-06-01,1619583.7778904433,forecast
2025-07-01,1609664.6446736602,forecast
